procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11 26      0 314224224 643184 63512692    0    0 700832     0 29934 18632 14 14 48 24  0
27 28      0 315622912 637040 59553132    0    0 712492     0 66038 21973 12 25 41 22  0
33 25      0 323355520 637040 51298232    0    0 682368     0 82169 37576 10 56 23 11  0
10 27      0 330233088 637048 43466532    0    0 707664    44 73299 38482 12 49 27 12  0
12 26      0 328224352 637048 43739636    0    0 742116     0 46441 28060 14 16 47 24  0
13 25      0 325615360 637048 44041348    0    0 718656     0 35099 25831 12 14 49 25  0
11 26      0 323146976 637048 45591736    0    0 715332     0 36905 29897 12 14 50 24  0
10 24      0 317925600 637048 49939052    0    0 720376     0 35219 27555 10 15 50 25  0
12 22      0 313043360 628652 54123108    0    0 688220    56 33115 26337  8 16 48 28  0
34 22      0 310816736 628632 56161836    0    0 653428     0 45783 18448  6 56 19 19  0
11 22      0 308053632 508500 59610552    0    0 437476     0 94694 120754  4 62 18 17  0
11 19      0 298482112 442984 69197496    0    0 232664     0 181112 441825  3 29 47 21  0
19 17      0 288547360 442984 78928432    0    0  7652     0 272007 779690  2 33 49 15  0
11 20      0 278838272 442984 88765312    0    0  6912     0 265791 770482  3 32 49 15  0
13 20      0 269446464 442992 98795576    0    0  6996    56 253528 854936  2 34 50 14  0
16 19      0 259951120 442992 108597992    0    0  6528     0 225088 707116  2 33 49 15  0
15 15      0 250527952 442736 118349152    0    0  5760     0 239818 769817  2 33 50 15  0
13 14      0 243331328 352136 125632544    0    0 44140     0 296911 1071632  2 35 49 14  0
12 22      0 236680752 352136 132510848    0    0  7424     0 313031 1390137  2 36 50 12  0
10 21      0 236511520 352136 136068192    0    0 16640     0 350379 1495106  1 31 52 16  0
 6 21      0 331910144 352196 137713152    0    0 617000     0 76050 139002  3 18 52 27  0
 4 19      0 331221312 352208 137878208    0    0 670992     0 35796 38499  7  6 59 27  0
 5 15      0 329351584 352208 138079280    0    0 626592     0 35743 40993  7  4 61 28  0
15  5      0 327204000 352220 138252736    0    0 605812     0 44751 59188  7  4 62 27  0
 3 13      0 325087776 352220 139259536    0    0 576388     0 46312 58931  6  5 64 26  0
 4 11      0 324279232 352220 139711568    0    0 550880     0 42724 52951  5  4 68 24  0
 4 11      0 323668256 352232 139785664    0    0 555464   100 34384 37467  8  5 65 22  0
 8  9      0 323222496 352232 139886496    0    0 532104    60 24157 23138  5  4 70 22  0
 2 10      0 322989952 352236 139981040    0    0 503316     0 24969 24976  4  3 74 19  0
 3  8      0 324054624 352240 140070944    0    0 488032     0 22839 22083  5  3 76 16  0
 8  7      0 324897632 352240 139988256    0    0 500268     0 29666 29007  7  5 72 16  0
 6  5      0 329366656 352248 133634224    0    0 468032    52 22818 16001 10  6 71 13  0
 6  6      0 334462656 352248 127077664    0    0 488844     0 25836 24780  8  6 73 13  0
 9  6      0 333997696 352252 127138176    0    0 484052     0 20374 15323  9  4 74 13  0
 5  4      0 333613440 352256 127066120    0    0 454444     0 20293 13122 13  4 75  9  0
 6  3      0 338558464 352260 121819296    0    0 416944     0 17402 11520  7  5 81  6  0
 7  4      0 345830912 352268 114242384    0    0 452736    44 17098 12434  7  6 79  8  0
 4  5      0 345405696 352272 114151488    0    0 478336     0 16980 12187  9  5 77  9  0
