timestamp, name, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/06/12 11:25:53.004, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:55.005, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:57.005, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:25:59.005, NVIDIA A100-SXM4-80GB, 45 %, 1 %, 31
2025/06/12 11:26:01.006, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 32
2025/06/12 11:26:03.006, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:05.006, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:07.007, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:09.007, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:11.007, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:13.008, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:15.008, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:17.008, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:19.008, NVIDIA A100-SXM4-80GB, 28 %, 12 %, 31
2025/06/12 11:26:21.009, NVIDIA A100-SXM4-80GB, 42 %, 1 %, 32
2025/06/12 11:26:23.009, NVIDIA A100-SXM4-80GB, 40 %, 12 %, 32
2025/06/12 11:26:25.009, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:27.010, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:29.010, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:31.010, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:33.011, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 31
2025/06/12 11:26:35.011, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:37.012, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:39.012, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:41.012, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:43.013, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:45.013, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:47.013, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:49.014, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:51.014, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:53.014, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:55.015, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:57.015, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:26:59.015, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:01.016, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:03.016, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:05.016, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:07.017, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:09.017, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:11.017, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:13.018, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:15.018, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:17.018, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:19.019, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:21.019, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:23.019, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:25.019, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:27.020, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:29.020, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:31.021, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:33.022, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:35.022, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:37.022, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:39.023, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:41.023, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:43.023, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:27:45.023, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:47.024, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:49.024, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:51.024, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:53.024, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:55.025, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:27:57.025, NVIDIA A100-SXM4-80GB, 35 %, 1 %, 29
2025/06/12 11:27:59.025, NVIDIA A100-SXM4-80GB, 84 %, 30 %, 30
2025/06/12 11:28:01.026, NVIDIA A100-SXM4-80GB, 29 %, 0 %, 29
2025/06/12 11:28:03.026, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:28:05.027, NVIDIA A100-SXM4-80GB, 36 %, 8 %, 31
2025/06/12 11:28:07.027, NVIDIA A100-SXM4-80GB, 17 %, 0 %, 30
2025/06/12 11:28:09.027, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:28:11.028, NVIDIA A100-SXM4-80GB, 29 %, 0 %, 31
2025/06/12 11:28:13.028, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 30
2025/06/12 11:28:15.028, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 30
2025/06/12 11:28:17.029, NVIDIA A100-SXM4-80GB, 45 %, 1 %, 30
2025/06/12 11:28:19.029, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 30
2025/06/12 11:28:21.029, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 30
2025/06/12 11:28:23.030, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 30
2025/06/12 11:28:25.030, NVIDIA A100-SXM4-80GB, 1 %, 0 %, 29
2025/06/12 11:28:27.030, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:28:29.030, NVIDIA A100-SXM4-80GB, 13 %, 11 %, 32
2025/06/12 11:28:31.031, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 30
2025/06/12 11:28:33.031, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 30
2025/06/12 11:28:35.031, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 29
2025/06/12 11:28:37.031, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:28:39.032, NVIDIA A100-SXM4-80GB, 42 %, 1 %, 30
2025/06/12 11:28:41.032, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 30
2025/06/12 11:28:43.032, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 29
2025/06/12 11:28:45.033, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 29
2025/06/12 11:28:47.033, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:28:49.033, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:28:51.033, NVIDIA A100-SXM4-80GB, 35 %, 9 %, 34
2025/06/12 11:28:53.034, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 29
2025/06/12 11:28:55.034, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 29
2025/06/12 11:28:57.034, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 29
2025/06/12 11:28:59.035, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:01.035, NVIDIA A100-SXM4-80GB, 45 %, 1 %, 29
2025/06/12 11:29:03.035, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 30
2025/06/12 11:29:05.035, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 29
2025/06/12 11:29:07.036, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 29
2025/06/12 11:29:09.036, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:11.036, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:13.036, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:15.036, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:17.037, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:19.037, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:21.037, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 29
2025/06/12 11:29:23.037, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:25.038, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:27.038, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:29.038, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:31.038, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:33.039, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
2025/06/12 11:29:35.039, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 28
