3.142047641033882815e-02 3.293972272792767414e-02 3.609515821262679336e-02 3.661109139685041203e-02 3.357439610243771744e-02 2.685596107579128061e-02 2.131853336840151131e-02 1.608099353042269711e-02 1.399929433394531478e-02 1.467909607143891640e-02 1.810017026663459858e-02 2.319336619634548846e-02
2.804625224899132824e-02 2.985523880352910706e-02 3.650194277544042964e-02 3.976979368696770267e-02 3.578157799218622398e-02 2.435883396587336033e-02 1.634115768135795121e-02 9.001443979515815277e-03 5.893915126044386305e-03 6.514509342996986641e-03 1.110644629464066502e-02 1.898973925639756491e-02
2.205709323910446523e-02 2.260588696997959182e-02 3.239584462796073899e-02 3.979647128010237872e-02 3.544509421896607088e-02 1.927577954170364011e-02 1.120975070143045114e-02 4.173985453632012010e-03 1.296531971836103634e-03 1.672393735843638075e-03 6.535622318503539994e-03 1.717909645618841477e-02
1.434204084706854412e-02 1.189083861218888372e-02 2.020785576419492288e-02 2.863729371662965956e-02 2.425683845148151122e-02 8.991557671498971727e-03 5.757550289561121776e-03 1.842199229215309153e-03 8.902657824696661023e-05 3.192164194938247558e-04 5.864560765454663628e-03 2.037782366921547447e-02
7.293111284294408019e-03 2.659806227405233335e-03 5.044290871695607942e-03 8.742935590066664223e-03 6.252602186876359339e-03 5.575927334725635934e-04 2.458431554174343638e-03 4.114007923793909678e-03 2.465738911299048680e-03 4.648064150241274645e-03 1.824876415032532229e-02 3.872537754602262822e-02
3.622561173614571341e-03 3.875855753763424199e-05 8.770040477117652106e-06 1.991819647975410828e-04 1.485077638134330918e-06 1.242482520298492489e-03 2.620055004192709588e-03 2.108623070685421846e-02 3.566476338508587501e-02 5.539343238770760153e-02 8.402686548013360568e-02 9.454379054828739026e-02
3.394726509863694921e-03 7.210807239872483916e-06 2.149749750529298005e-04 1.755039721475742769e-04 1.020669946229585878e-03 2.000132574477531035e-03 7.501849083348237704e-03 7.375232344068664847e-02 1.771281154856055029e-01 2.682427129803537924e-01 2.833974942172346467e-01 2.145665278723399849e-01
6.164302998266744417e-03 1.498900246440192747e-03 8.256982327676656375e-04 1.660700298936720843e-03 1.743044229716211998e-03 3.758937114563082500e-03 4.670612360521644857e-02 2.166684024241433693e-01 5.034086428376740585e-01 6.984921548266638247e-01 6.103521306116389544e-01 3.755959326868638648e-01
1.272348722826277014e-02 9.489769108035565198e-03 1.138281229306365404e-02 1.761734804893686987e-02 2.413940816769882119e-02 3.972632602347243164e-02 1.247905342492076630e-01 3.735325374758150518e-01 7.730603202670431884e-01 1.000000000000000000e+00 8.131796091800633786e-01 4.713889565155543471e-01
2.099202715706347325e-02 2.143618957130685385e-02 2.828797769026912892e-02 4.125278176138320180e-02 5.890348333811276649e-02 8.860334270521454114e-02 1.825148727893984024e-01 4.029657826796753106e-01 7.233857800236758173e-01 8.888225346872588029e-01 7.250906171098473463e-01 4.385825855857969358e-01
2.763733501166549394e-02 3.029861271948647641e-02 3.838907273384602886e-02 5.147937129073300311e-02 7.315253588345763114e-02 1.104494095384171704e-01 1.915417781789840734e-01 3.341287558843998307e-01 5.039179964640576603e-01 5.826565671058235862e-01 4.911547731771458980e-01 3.284350215610639112e-01
3.346295517495505301e-02 3.728809441208951608e-02 4.560251051992043198e-02 5.771382194930397419e-02 7.749183362581230083e-02 1.073889321837614014e-01 1.617437101073249950e-01 2.434584719206803749e-01 3.290248531454497694e-01 3.667559297840214394e-01 3.217997034796147293e-01 2.362705362071753079e-01
