timestamp, name, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/06/19 17:49:34.473, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:34.473, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:34.473, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:36.473, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:36.473, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:36.473, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:36.473, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:38.473, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:38.473, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:38.473, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:38.473, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:40.474, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:40.474, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:40.474, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:40.474, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:42.474, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:42.474, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:42.474, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:42.474, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:44.474, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:44.474, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:44.474, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:44.474, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:46.474, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:46.474, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:46.474, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:46.475, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:48.475, NVIDIA H200, 0 %, 0 %, 30
2025/06/19 17:49:48.475, NVIDIA H200, 0 %, 0 %, 26
2025/06/19 17:49:48.475, NVIDIA H200, 0 %, 0 %, 25
2025/06/19 17:49:48.475, NVIDIA H200, 0 %, 0 %, 28
2025/06/19 17:49:50.475, NVIDIA H200, 0 %, 0 %, 31
