index,filename,atom_count,iou,dice,planarity_pca,planarity_rms,rmsd
0,100650,tensor(23),0.7007558941841125,0.8240522742271423,99.99999967601553,99.99430803664293,0.0001816261816997634
1,100795,tensor(22),0.6533632278442383,0.7903444766998291,99.99989783906253,99.89892525447308,0.0031359723363284324
2,100816,tensor(26),0.6060717105865479,0.7547255754470825,99.99964980532937,99.81286478231077,0.006978737277266682
3,101325,tensor(27),0.7008352279663086,0.8241071701049805,99.99999776803533,99.98506023854351,0.0005470188099860804
4,10141,tensor(20),0.6339066624641418,0.7759398221969604,99.9999997126606,99.99463959520244,0.00014919907385448327
5,101463,tensor(16),0.7720000147819519,0.8713318109512329,99.99995492132946,99.9328593335863,0.0018283988975284853
6,10271,tensor(20),0.6515524983406067,0.7890182137489319,99.99978934968684,99.85486187375217,0.004047930480063941
7,10331,tensor(18),0.7272727489471436,0.8421052694320679,99.99999630242037,99.98077090805077,0.000561549091141328
8,1047,tensor(13),0.8081149458885193,0.8938756585121155,99.9997852698668,99.85346311239306,0.003459397816809266
9,105578,tensor(23),0.4881439208984375,0.6560439467430115,99.99980582047469,99.86065155100977,0.004935752623571121
10,10701,tensor(11),0.6146384477615356,0.761332631111145,99.99999642318487,99.98108752990503,0.0003863366056030663
11,111637,tensor(22),0.6484656929969788,0.7867506146430969,99.99999168705357,99.9711678180869,0.000894505031614894
12,113400,tensor(18),0.5597129464149475,0.7177127599716187,99.99991852756627,99.90973788163652,0.002602086140717428
13,11374,tensor(18),0.790837824344635,0.8832042813301086,99.99999886364827,99.98934001994469,0.0002899429423850032
14,115267,tensor(24),0.5804665684700012,0.7345508933067322,99.99998891444285,99.96670501785331,0.0011253632487751948
15,1188,tensor(15),0.7619718313217163,0.8649080991744995,99.9999931042417,99.97374022317557,0.0006268884833228784
16,11907,tensor(14),0.7827773690223694,0.8781549334526062,99.999995278767,99.9782716010401,0.0005060658575596541
17,12068,tensor(18),0.5495175123214722,0.7092756628990173,99.99975267110783,99.84273286933474,0.004214306939149747
18,12088,tensor(17),0.8176508545875549,0.8996787071228027,99.9997224598797,99.83340441465054,0.004528687478552779
19,123130,tensor(16),0.7019290328025818,0.8248628973960876,99.99999927307783,99.99147402692715,0.00024552413522387057
20,123178,tensor(3),0.7482269406318665,0.8559837937355042,100.0,100.0,7.138075965548621e-33
21,124656,tensor(20),0.6430354714393616,0.7827408313751221,99.9999665428357,99.94215782205687,0.0017445903998254864
22,126,tensor(15),0.7810007333755493,0.8770358562469482,99.99999980225283,99.99555312285814,0.00010761645703998669
23,128844,tensor(16),0.801789402961731,0.889992356300354,99.9999971136923,99.98301086294839,0.0004316850475915463
24,128982,tensor(21),0.6633940935134888,0.7976391315460205,99.99996859048944,99.94395580279473,0.0018236199185387722
25,1320,tensor(27),0.5454545617103577,0.7058823704719543,99.99995356517624,99.93185688197876,0.002381705805555544
26,13219,tensor(13),0.7254130840301514,0.8408572673797607,99.99999863889468,99.98833335805503,0.0002769950662698177
27,13395,tensor(15),0.7716535329818726,0.8711110949516296,99.99988127614836,99.89103946008161,0.0029105610310791482
28,135697,tensor(12),0.5847908854484558,0.7380038499832153,99.99999658722004,99.98152628873459,0.0004146785753000636
29,136071,tensor(16),0.6960972547531128,0.8208223581314087,99.99999941992809,99.99238375480523,0.00019366049811170007
30,136323,tensor(12),0.7359648942947388,0.8479029536247253,99.999999349523,99.99193478450182,0.00016966578230566607
31,137268,tensor(13),0.7405892014503479,0.8509637713432312,99.99999962927559,99.9939112858219,0.00015103863640777217
32,137711,tensor(12),0.4751131236553192,0.6441717743873596,99.99999397606717,99.97545629777112,0.0006063616616621025
33,138112,tensor(8),0.5302325487136841,0.6930091381072998,100.0,100.0,0.0
