procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  1      0 1946092416 119672 70866360    0    0     0     0 33238 10347 17  5 78  0  0
31  1      0 1947887360 119680 70837664    0    0     0    48 34841 7384 19  5 76  0  0
33  0      0 1948851584 119680 70760280    0    0     0     0 36371 9564 20  5 75  0  0
34  0      0 1944452864 119680 73924128    0    0     0     0 36930 11532 19  6 74  0  0
34  0      0 1938393472 119680 78971536    0    0     0     0 36549 7742 20  6 74  0  0
33  0      0 1940119680 119680 80681264    0    0     0     0 36383 5903 20  6 74  0  0
31  1      0 1939127552 119688 81917552    0    0     0    72 35182 4932 21  5 75  0  0
32  0      0 1937692672 119688 82263048    0    0     0     0 39269 8028 20  6 75  0  0
32  0      0 1936672640 119688 82807552    0    0     0     0 36727 9686 20  6 75  0  0
33  0      0 1937126528 119688 80944064    0    0     0     0 35617 7464 21  5 75  0  0
35  0      0 1936142080 119688 81062112    0    0     0     0 36640 6911 21  5 74  0  0
33  0      0 1933732096 119688 82571616    0    0     0    44 35820 4179 19  7 74  0  0
32  0      0 1926472064 119688 89385216    0    0     0     0 35160 2782 19  7 74  0  0
30  0      0 1922730880 119688 92396792    0    0     0     0 34697 4449 19  5 76  0  0
29  0      0 1922806912 119688 90805456    0    0     0     0 37343 8457 18  6 75  0  0
27  0      0 1921184640 119688 92722784    0    0     0     0 29947 2744 17  4 78  0  0
26  0      0 1913239552 119688 100367600    0    0     0     0 28284 5407 14  6 80  0  0
24  0      0 1911608832 119696 100756832    0    0     0    56 28708 2713 13  7 80  0  0
21  0      0 1907631616 119696 105231152    0    0     0     0 23782 6582 12  5 83  0  0
21  0      0 1904375424 119696 105197072    0    0     0     0 24107 2807 12  5 83  0  0
22  0      0 1909634944 119696 100842576    0    0     0     0 22581 5822 11  4 85  0  0
18  0      0 1909502336 119696 98961408    0    0     0     0 20668 2664 11  3 85  0  0
19  0      0 1905396096 119696 100870848    0    0     0     0 20800 5790 11  3 85  0  0
19  0      0 1908861952 119704 96602872    0    0     0    68 22479 3586 11  4 85  0  0
17  0      0 1904621184 119704 101151456    0    0     0     0 20156 5725 10  4 86  0  0
17  0      0 1912699008 119704 93594368    0    0     0     0 21585 3181 11  3 85  0  0
16  0      0 1908521600 119704 96981360    0    0     0     0 19055 2379 10  3 86  0  0
17  0      0 1909517824 119704 96079584    0    0     0     0 20627 6233 10  4 86  0  0
20  0      0 1906963200 119704 100180176    0    0     0    40 18897 3989 10  3 87  0  0
15  0      0 1910408448 119704 97515136    0    0     0     0 21504 3857  9  5 86  0  0
15  0      0 1907976704 119704 101155032    0    0     0     0 17600 5609  9  3 88  0  0
14  0      0 1917008512 119704 94031584    0    0     0     0 18877 3241  9  3 88  0  0
14  0      0 1917655936 119704 94629616    0    0     0     0 15999 5790  8  2 89  0  0
13  0      0 1921440000 119704 90451440    0    0     0     0 17172 2783  8  3 88  0  0
14  0      0 1926262784 119704 85135840    0    0     0     0 16481 3840  8  3 89  0  0
16  0      0 1929118848 119704 81911248    0    0     0     0 16878 4235  8  3 89  0  0
16  0      0 1929609344 119704 80635552    0    0     0     0 16488 3845  9  3 89  0  0
14  0      0 1932704000 119704 76257504    0    0     0     0 17685 2657  9  3 88  0  0
16  0      0 1936763904 119704 70420032    0    0     0     0 17600 4029  9  3 88  0  0
17  0      0 1938617088 119704 66813068    0    0     0     0 18520 4269  9  4 87  0  0
17  0      0 1935009152 119704 69316256    0    0     0     0 18386 4355  9  4 88  0  0
17  0      0 1933728000 119704 71020168    0    0     0     0 18436 3363  9  4 87  0  0
15  0      0 1935535360 119704 68488768    0    0     0     0 18231 2308  9  4 87  0  0
15  0      0 1940684928 119704 64338176    0    0     0     0 18880 4011  9  3 87  0  0
18  0      0 1968958720 119704 62704612    0    0     0     0 21420 5315 10  3 87  0  0
17  0      0 1970734720 119704 59810900    0    0     0     0 19544 3050 10  3 87  0  0
17  0      0 1971112192 119704 58302628    0    0     0     0 19794 3225 10  4 86  0  0
19  0      0 1980526848 119704 59804744    0    0     0     0 20325 3456  9  5 86  0  0
17  0      0 1978275456 119704 61445524    0    0     0     0 19507 2664  9  5 87  0  0
17  0      0 1978694272 119704 62582416    0    0     0     0 19653 2484  9  5 87  0  0
17  0      0 1982397440 119716 62019608    0    0     0    52 20136 2815  9  4 86  0  0
18  0      0 1985525760 119716 60599000    0    0     0     0 19560 2719  9  4 86  0  0
24  1      0 1981808128 119716 63850052    0    0     0     0 223196 15301 16  5 79  0  0
25  0      0 1980043136 119716 67176192    0    0     0     0 30886 17266 13  5 81  1  0
32  1      0 1978099328 119716 67232544    0    0     0     0 152190 22710 19  5 76  1  0
33  0      0 1972794112 119716 70650056    0    0     0    40 41297 20705 18  6 75  1  0
33  0      0 1969038720 119716 72384352    0    0     0     0 38010 16195 19  6 75  1  0
30  3      0 1967180416 119716 71804120    0    0     0     0 38542 18519 19  6 75  1  0
31  2      0 1965981056 119716 71060216    0    0     0     0 38088 16822 19  6 75  1  0
31  1      0 1965060352 119716 71212696    0    0     0     0 39955 18156 19  6 74  1  0
32  0      0 1961540608 119716 73347632    0    0     0     0 37290 11259 19  6 75  0  0
31  0      0 1958236544 119716 74938864    0    0     0     0 34791 7197 18  7 75  0  0
27  0      0 1954503424 119716 76159648    0    0     0     0 33177 7070 17  6 77  0  0
27  0      0 1952612352 119716 76749504    0    0     0     0 30265 4137 15  6 78  0  0
26  0      0 1946123776 119716 81715528    0    0     0     0 30043 4498 13  7 80  0  0
20  0      0 1941012352 119724 83916936    0    0     0   104 27041 3833 12  5 83  0  0
19  0      0 1939949824 119724 86034488    0    0     0     0 23269 4586 11  5 84  0  0
19  0      0 1944005120 119724 81380064    0    0     0     0 22098 5985 11  4 85  0  0
17  0      0 1944344064 119724 80468592    0    0     0     0 21003 4151 10  4 86  0  0
17  0      0 1942419072 119724 83288016    0    0     0     0 20018 5376  9  5 86  0  0
14  0      0 1946598272 119724 80336064    0    0     0     0 18714 4687  8  4 88  0  0
13  0      0 1965470848 119732 74933832    0    0     0   108 17565 6308  7  4 89  0  0
27  0      0 1974623104 119732 64509488    0    0     0     0 215007 10765 17  5 77  0  0
26  0      0 1975088000 119732 65800452    0    0     0     0 29422 2665 15  5 79  0  0
26  0      0 1971168768 119732 69077664    0    0     0     0 29813 4286 16  5 80  0  0
24  0      0 1976956032 119732 65886764    0    0     0     0 27326 2441 15  4 81  0  0
24  0      0 1976374528 119732 66464276    0    0     0     0 26950 3351 16  3 81  0  0
24  0      0 1975414400 119744 67880440    0    0     0    52 26814 3039 15  4 81  0  0
23  0      0 1975164928 119744 69132656    0    0     0     0 24992 2478 15  3 82  0  0
22  0      0 1974087040 119744 68336896    0    0     0     0 24671 2319 14  3 83  0  0
30  0      0 1975786112 119744 67363712    0    0     0     0 136440 8748 19  5 76  0  0
30  0      0 1971915904 119744 69792208    0    0     0     0 33393 2702 19  5 77  0  0
32  0      0 1970556160 119744 69690056    0    0     0     0 38367 4736 20  4 76  0  0
31  0      0 1969462016 119744 68932696    0    0     0     8 33292 2419 20  5 76  0  0
30  0      0 1968677376 119744 68932728    0    0     0     0 33977 3261 20  4 76  0  0
30  0      0 1966225664 119756 68932728    0    0     0    76 32506 2069 19  4 76  0  0
30  0      0 1964240384 119756 69351552    0    0     0     0 32545 3032 19  4 77  0  0
30  0      0 1960934784 119756 70086368    0    0     0     0 32049 1937 19  5 77  0  0
29  0      0 1956781696 119756 72934688    0    0     0     0 32456 2379 18  5 77  0  0
28  0      0 1951254784 119756 75465456    0    0     0     0 31790 3447 17  5 77  0  0
27  0      0 1947403136 119756 76935856    0    0     0    60 29946 2453 16  5 79  0  0
29  0      0 1945870080 119756 76076064    0    0     0     0 29749 2116 18  4 78  0  0
28  0      0 1943598720 119756 75243328    0    0     0     0 31481 3033 18  4 78  0  0
28  0      0 1939028608 119756 76311840    0    0     0     0 29994 1990 17  5 78  0  0
28  0      0 1935066624 119756 77001056    0    0     0     0 29632 2082 18  4 78  0  0
28  0      0 1931272576 119764 79111120    0    0     0    12 29353 2003 17  5 78  0  0
27  0      0 1927027584 119764 79658912    0    0     0     0 28814 2209 17  4 79  0  0
26  0      0 1923669120 119764 82276984    0    0     0     0 28410 2018 16  5 80  0  0
26  0      0 1918474880 119764 85439968    0    0     0     0 29185 2601 16  5 80  0  0
27  0      0 1917998464 119764 85020160    0    0     0     0 28952 2321 17  4 80  0  0
26  0      0 1916415744 119764 84164224    0    0     0     0 28704 2371 17  4 80  0  0
25  0      0 1909695616 119764 89829072    0    0     0     0 26607 2557 14  5 81  0  0
23  0      0 1908847104 119764 93570496    0    0     0     0 26401 2087 15  4 81  0  0
22  0      0 1902131456 119764 97521744    0    0     0     0 24095 2192 13  4 83  0  0
23  0      0 1890125952 119772 106681904    0    0     0    56 24596 3313 12  5 83  0  0
18  0      0 1880097408 119772 117708992    0    0     0     0 23425 2642 11  5 84  0  0
16  0      0 1869255936 119772 125574872    0    0     0     0 19003 2460  9  4 87  0  0
14  0      0 1867729664 119772 128901448    0    0     0     0 18683 2975  8  4 88  0  0
 9  0      0 1869461632 119772 125619040    0    0     0     0 13937 3209  6  3 91  0  0
 7  0      0 1868206720 119772 125890424    0    0     0    24 10131 2234  5  1 94  0  0
 6  0      0 1868201088 119780 124176960    0    0     0    84 8037 4638  4  1 95  0  0
 4  0      0 1870274816 119780 119216000    0    0     0     0 7298 2326  3  2 96  0  0
 3  0      0 1869743744 119780 121104744    0    0     0     0 5950 4756  2  1 97  0  0
 2  0      0 1871829888 119780 114882640    0    0     0     0 4353 1900  1  1 98  0  0
 2  0      0 1874808192 119780 110703824    0    0     0     0 4353 3501  1  0 98  0  0
 4  0      0 1872829184 119780 110380720    0    0     0    72 4061 2462  1  0 98  0  0
 2  0      0 1878511744 119780 103945032    0    0     0     0 4539 2090  1  1 98  0  0
 3  0      0 1875832320 119788 103084792    0    0     0    12 3995 2972  1  0 98  0  0
 2  0      0 1884937088 119788 93007712    0    0     0     0 4951 2920  1  1 98  0  0
 2  0      0 1883886336 119788 92147440    0    0     0     0 4367 3877  1  0 98  0  0
 2  0      0 1888322176 119788 85388592    0    0     0     0 4915 2873  1  1 98  0  0
 2  0      0 1890763392 119788 81210192    0    0     0     0 4708 3741  1  1 98  0  0
 3  0      0 1890991232 119788 79184112    0    0     0     4 4346 3223  1  0 98  0  0
 2  0      0 1898473600 119788 70395584    0    0     0     0 4662 2692  1  1 98  0  0
50  0      0 1909361792 119788 61638288    0    0     0     0 161695 7741  5  2 94  0  0
48  0      0 1907180160 119788 63448340    0    0     0     0 78770 5881  7  3 90  0  0
18  0      0 1914559744 119788 63448908    0    0     0     0 78365 5633 11  4 85  0  0
18  0      0 1905585280 119788 63285112    0    0     0     0 20633 2082  9  5 86  0  0
18  0      0 1932868608 119788 49824924    0    0     0     0 21546 3250  9  5 86  0  0
18  0      0 1926558720 119788 48272592    0    0     0     0 21792 2454 10  5 86  0  0
18  0      0 1923265408 119800 48272616    0    0     0    52 20164 2327 10  4 86  0  0
18  0      0 1909702656 119800 55943928    0    0     0     0 19918 2210  8  6 86  0  0
19  0      0 1901557760 119800 61544028    0    0     0     0 23593 3160  9  6 85  0  0
19  0      0 1896917760 119800 59886108    0    0     0     0 21127 1920 11  4 85  0  0
19  0      0 1894856960 119800 58226660    0    0     0     0 22574 3820 10  5 85  0  0
20  0      0 1892356608 119800 55000612    0    0     0    16 21725 2486 11  4 85  0  0
19  0      0 1893169920 119800 53249552    0    0     0     0 21526 2435 10  4 85  0  0
19  0      0 1889792640 119800 51590888    0    0     0     0 21508 2454 11  4 85  0  0
19  0      0 1880781312 119808 57736856    0    0     0    64 21257 2162  9  6 85  0  0
19  0      0 1864148992 119808 72190992    0    0     0     0 21632 2594  6  8 85  0  0
17  0      0 1860113664 119808 81456160    0    0     0     0 19655 2647  8  6 86  0  0
13  0      0 1857797632 119808 84770184    0    0     0     0 17694 2653  7  5 88  0  0
12  0      0 1864862592 119808 80104496    0    0     0     0 16261 2471  7  3 90  0  0
14  0      0 1863143808 119808 79056976    0    0     0    32 14370 2565  7  2 91  0  0
12  0      0 1863997184 119808 75821312    0    0     0     0 14249 2608  7  3 90  0  0
11  0      0 1855970944 119816 80824480    0    0     0    68 14193 2378  4  5 91  0  0
11  0      0 1853913088 119816 78445520    0    0     0     0 13530 2150  5  3 91  0  0
12  0      0 1854732032 119816 73468608    0    0     0     0 13989 2583  7  2 91  0  0
13  0      0 1856077568 119816 70466272    0    0     0     0 14581 3575  7  2 91  0  0
12  0      0 1853518976 119816 68491760    0    0     0     0 14813 3410  7  2 90  0  0
12  0      0 1855476096 119816 64028948    0    0     0    60 14641 2580  7  2 91  0  0
11  0      0 1849143936 119816 69088400    0    0     0     0 12895 3237  5  3 92  0  0
 8  0      0 1842540288 119816 75135232    0    0     0     0 10880 3371  3  3 94  0  0
 6  0      0 1850337024 119816 74171416    0    0     0     0 10021 2400  4  2 94  0  0
 9  0      0 1857559424 119816 74454336    0    0     0     0 9871 2233  4  2 94  0  0
 9  0      0 1857970432 119816 70151152    0    0     0     0 10978 2118  5  2 93  0  0
10  0      0 1861095424 119816 65174360    0    0     0     0 11777 2614  5  2 93  0  0
 9  0      0 1866087680 119816 60217036    0    0     0     0 45549 4778  8  3 90  0  0
18  0      0 1858025984 119816 64654952    0    0     0     0 70326 4999 11  5 84  0  0
19  0      0 1852591232 119816 64557468    0    0     0     0 20497 2360 10  4 86  0  0
17  0      0 1850630400 119816 65305156    0    0     0     0 20455 2262  9  5 86  0  0
17  0      0 1847125888 119816 64902648    0    0     0     0 20001 2112 10  4 86  0  0
19  0      0 1847758336 119816 62686396    0    0     0     0 20326 2098 10  4 86  0  0
19  0      0 1845226112 119828 62152172    0    0     0    44 20933 2130 10  4 85  0  0
19  0      0 1841581824 119828 61610260    0    0     0     0 22411 3602 11  4 85  0  0
19  0      0 1837667840 119828 62089516    0    0     0     0 21359 2180 10  5 85  0  0
19  0      0 1838079104 119828 62882404    0    0     0     0 21630 2241 11  4 85  0  0
19  0      0 1831388800 119828 62893732    0    0     0     0 22212 2399 10  5 85  0  0
19  0      0 1831694848 119828 62469836    0    0     0    32 21202 2481 11  4 85  0  0
19  0      0 1823723648 119828 63307212    0    0     0     0 21295 2398 10  5 85  0  0
19  0      0 1820725376 119828 61589496    0    0     0     0 21472 2156 10  5 85  0  0
19  0      0 1815529728 119828 61291364    0    0     0     0 21038 2122 11  4 85  0  0
19  0      0 1810183680 119828 61916832    0    0     0     0 21480 2380 10  5 85  0  0
19  0      0 1807555200 119828 62165904    0    0     0     0 20998 2114 10  4 85  0  0
19  0      0 1800575744 119828 63012920    0    0     0     0 20987 2115 10  5 85  0  0
19  0      0 1797774720 119828 62795904    0    0     0     0 20855 2927 11  4 86  0  0
19  0      0 1810222464 119828 60605332    0    0     0     0 102601 2704  4  8 89  0  0
19  0      0 1821616640 119828 49804712    0    0     0     0 21595 2471  2 13 85  0  0
15  1      0 1831556224 119824 40707728    0    0     0     0 23138 8672  2 12 85  0  0
15  1      0 1830976000 119828 45569604    0    0     0     0 22859 11116  8  5 86  0  0
16  0      0 1820770048 119828 52393500    0    0     0     0 21829 11023  8  4 87  0  0
18  0      0 1817748608 119828 56338872    0    0     0     0 22944 13105  8  4 87  0  0
14  0      0 1813865472 119828 56551528    0    0     0     0 21038 10833  9  4 87  0  0
16  0      0 1812094848 119828 62300568    0    0     0     0 19937 8307  7  5 88  0  0
14  0      0 1810912640 119828 63212280    0    0     0     0 18970 9776  7  4 89  0  0
15  0      0 1804304640 119836 64310432    0    0     0    64 17775 10281  7  4 89  0  0
13  1      0 1805822848 119836 62802272    0    0     0     0 19280 10290  8  3 89  0  0
15  1      0 1801855360 119836 61910528    0    0     0     0 17595 7842  8  3 89  0  0
14  0      0 1800551168 119836 59942984    0    0     0     0 18728 8313  8  3 89  0  0
13  1      0 1796525056 119836 59503312    0    0     0     0 18382 10708  8  3 89  0  0
14  0      0 1799928832 119836 56989712    0    0     0    32 18734 10094  8  3 89  0  0
14  1      0 1799884288 119844 55456064    0    0     0    36 18518 11894  7  3 89  0  0
17  0      0 1804626304 119844 52433328    0    0     0     0 20026 13253  6  5 88  0  0
13  0      0 1807948032 119844 47513676    0    0     0     0 18789 12598  7  4 89  0  0
16  0      0 1807132800 119844 46472212    0    0     0    28 27441 24487  6  5 89  0  0
