index,filename,atom_count,iou,dice,planarity_pca,planarity_rms,rmsd
337,140920,tensor(5),0.6243094205856323,0.7687074542045593,99.99999997182597,99.99832148830261,2.796361403268494e-05
338,14101,tensor(18),0.7878788113594055,0.8813559412956238,99.99999688258838,99.98234380639747,0.00048384572938591164
339,141095,tensor(4),0.7816711664199829,0.877458393573761,99.99999879105785,99.98900480941366,0.00010941178878152596
340,141156,tensor(19),0.7560022473335266,0.8610492944717407,99.99999882539655,99.98916208756405,0.00029495801846827666
341,141184,tensor(18),0.7459490895271301,0.8544912338256836,99.99951175652353,99.77903713880087,0.006002819008028048
342,141187,tensor(8),0.6883780360221863,0.8154311776161194,99.9999947681025,99.97712665793588,0.0004955596821623992
343,141383,tensor(17),0.7872611284255981,0.8809693455696106,99.99999160477292,99.97102548051936,0.0007280257397650826
344,14160,tensor(30),0.6031592488288879,0.7524632811546326,99.99989565229103,99.89784922033391,0.004010830894797628
345,141717,tensor(14),0.7397464513778687,0.8504071831703186,99.9998604059191,99.88184997851532,0.0029521849144176376
346,141735,tensor(16),0.71308833360672,0.8325178623199463,99.99998729011698,99.96434907484581,0.0008647749431429758
347,141838,tensor(9),0.6266520023345947,0.7704806923866272,99.99993249545578,99.91783882315839,0.001841012643893178
348,141902,tensor(14),0.22408442199230194,0.36612576246261597,99.97299018885353,98.35631181739282,0.03896481791294439
349,141927,tensor(12),0.7868421077728271,0.8807069063186646,99.9999973319726,99.9836659022588,0.00037272882986979556
350,142312,tensor(18),0.73591548204422,0.8478701710700989,99.99999288930975,99.9733341215263,0.0007056013837699291
351,142323,tensor(13),0.685228168964386,0.813217043876648,99.99999827498401,99.98686601350099,0.00030874684348086614
352,142385,tensor(16),0.6966003775596619,0.8211719989776611,99.99989563919024,99.8978428080525,0.002582606395972548
353,142424,tensor(14),0.6460239291191101,0.784950852394104,99.9999996868165,99.99440371993583,0.0001311700829306608
354,142488,tensor(4),0.7592592835426331,0.8631578683853149,100.0,100.0,0.0
355,14272,tensor(15),0.7082191705703735,0.8291900753974915,99.97457673865674,98.40532992725576,0.03936577327338196
356,14273,tensor(13),0.7386363744735718,0.8496732115745544,99.99999686940241,99.9823065048592,0.00039935753904635994
357,142764,tensor(14),0.737864077091217,0.8491619825363159,99.99762373224809,99.51252443961388,0.01114218540797697
358,142796,tensor(9),0.6805251836776733,0.8098958134651184,99.99999990401375,99.99690183506632,6.0728748856721816e-05
359,14300,tensor(14),0.7754010558128357,0.8734939694404602,99.99999994002427,99.99755100563901,5.610647766979928e-05
360,143051,tensor(14),0.639494001865387,0.7801114320755005,99.98336732694584,98.71021552294592,0.04021859465897556
361,143168,tensor(12),0.6220472455024719,0.7669903039932251,99.99999056367838,99.96928140219529,0.0006662735482154308
362,143188,tensor(7),0.7016011476516724,0.8246364593505859,99.99999826451345,99.98682621324704,0.00021120914742217063
363,143273,tensor(30),0.6398195624351501,0.7803536057472229,99.99999935480625,99.99196760460748,0.0002963766589390116
364,143289,tensor(9),0.7096424698829651,0.8301647901535034,99.99999549237783,99.97876883804817,0.0004303136332490395
365,14330,tensor(21),0.7468796968460083,0.855101466178894,99.99999723756268,99.9833794181833,0.0005353695733540132
366,143328,tensor(15),0.38039013743400574,0.5511342287063599,99.99999785193813,99.98534373202034,0.00043241383978498166
367,143587,tensor(24),0.6976351141929626,0.8218905329704285,99.99999829295821,99.98693461887778,0.000446069024727749
368,143780,tensor(6),0.6322034001350403,0.7746624946594238,99.99998826851234,99.96574873865399,0.000595780995094486
369,143827,tensor(10),0.8305830359458923,0.9074519276618958,99.99999702591067,99.98275445153246,0.0003155974857873789
370,143912,tensor(12),0.3337484300136566,0.5004668831825256,99.99997409696098,99.9491049651394,0.0011111811174822842
371,143951,tensor(17),0.7790549397468567,0.8758075833320618,99.99988825830957,99.89429199874424,0.002922910216486872
372,143970,tensor(19),0.7673239707946777,0.8683455586433411,99.99999260660657,99.9728092037662,0.0007348396681574706
373,144045,tensor(17),0.8184159398078918,0.9001416563987732,99.99999986901277,99.99638078409423,9.278677383858623e-05
374,144650,tensor(8),0.6896120309829712,0.8162962794303894,99.99999123981083,99.97040238196388,0.0005526811743363126
375,144965,tensor(14),0.5963975787162781,0.7471792697906494,99.9999954148806,99.9785871075582,0.0005472696835172661
376,145018,tensor(15),0.7025232315063477,0.8252730369567871,99.99929614946636,99.73469725072465,0.006749539902760842
377,14512,tensor(12),0.7789661288261414,0.8757514953613281,99.99999680547393,99.98212676256264,0.0003732389718451153
378,14526,tensor(17),0.7226994037628174,0.8390313386917114,99.99999997653002,99.99846800852623,3.9707042024080455e-05
379,145421,tensor(14),0.6801736354827881,0.8096468448638916,99.96536790782284,98.13870770295506,0.050109973208341915
380,14547,tensor(22),0.7412790656089783,0.8514190316200256,99.99892169703584,99.67162299233048,0.011031084602442955
381,1456,tensor(19),0.6769706606864929,0.8073732852935791,99.9999978327004,99.98527824864009,0.000403898936886269
382,145667,tensor(27),0.7022958397865295,0.8251160979270935,99.99970355512339,99.82782399835742,0.005797029814344724
383,145720,tensor(24),0.6193675994873047,0.7649499773979187,99.99990191702042,99.90096309991885,0.003655548739823494
384,145766,tensor(18),0.6801328063011169,0.8096179366111755,99.9999922844513,99.9722231224039,0.0007268838969427141
385,145773,tensor(15),0.7989913821220398,0.8882659077644348,99.9999308971302,99.91687183537012,0.00199690235299513
386,145774,tensor(28),0.6521739363670349,0.7894737124443054,99.99984235413139,99.8744427950555,0.004576785982040356
387,145786,tensor(10),0.6283783912658691,0.771784245967865,99.99999289350424,99.97334198761254,0.0005736282727701091
388,145787,tensor(21),0.7543597221374512,0.859982967376709,99.99989865946715,99.89933191391947,0.0030666601117504766
389,146002,tensor(11),0.7053321003913879,0.8272079229354858,99.99998050303168,99.95584462420408,0.0009033748096896673
390,146119,tensor(16),0.671775221824646,0.8036669492721558,99.99996811865685,99.94353642474096,0.001440025596286034
391,146325,tensor(13),0.2929155230522156,0.453108549118042,99.99653688347004,99.41150730965661,0.013946992279678688
392,146422,tensor(21),0.6965914368629456,0.8211658000946045,99.99747459397311,99.49745947374865,0.01646517869364622
393,146573,tensor(29),0.6019417643547058,0.7515151500701904,99.99997714725626,99.95219545108938,0.0017157086015603693
394,146687,tensor(19),0.6882067918777466,0.8153110146522522,99.99997538048564,99.95038193835596,0.0013590214239328068
